amp; max; min; volt; max; min; wattage; mah; Joule
129,83;128,7;128,1;5,02;5,02;5,02;1,0;15,76;0,15
125,97;126,1;120,9;5,02;5,03;5,02;1,0;15,78;0,15
153,23;188,0;126,1;5,01;5,01;5,0;1,0;15,79;0,15
172,87;199,1;131,5;5,01;5,02;4,99;1,0;15,79;0,15
135,23;143,5;130,7;5,02;5,02;5,02;1,0;15,81;0,15
154,57;164,4;136,6;5,01;5,01;5,01;1,0;15,82;0,15
162,1;162,6;161,0;5,01;5,01;5,01;1,0;15,82;0,15
158,53;157,4;157,2;5,01;5,01;5,01;1,0;15,83;0,15
155,8;166,1;144,1;5,02;5,02;5,01;1,0;15,84;0,15
149,63;143,3;139,5;5,02;5,03;5,02;1,0;15,85;0,15
138,5;141,8;134,2;5,02;5,02;5,01;1,0;15,86;0,15
134,93;131,6;131,4;5,02;5,02;5,02;1,0;15,86;0,15
146,33;180,7;126,9;5,02;5,02;5,0;1,0;15,87;0,15
143,53;130,3;119,6;5,02;5,02;5,0;1,0;15,88;0,15
132,0;155,0;119,6;5,0;5,02;4,92;1,0;15,9;0,15
509,17;507,4;498,6;4,92;4,92;4,92;3,0;15,93;0,45
487,37;484,1;479,4;4,93;4,94;4,92;2,0;15,96;0,3
579,13;788,6;469,4;4,89;4,93;4,81;3,0;15,99;0,45
664,77;710,8;494,9;4,86;4,93;4,81;3,0;16,03;0,45
626,23;782,9;494,9;4,89;4,9;4,86;3,0;16,06;0,45
975,33;1128,1;782,9;4,82;4,82;4,78;5,0;16,12;0,75
952,53;985,8;856,8;4,81;4,86;4,78;5,0;16,17;0,75
920,3;1034,3;856,8;4,8;4,8;4,75;4,0;16,23;0,6
684,6;634,4;549,6;4,86;4,9;4,8;3,0;16,27;0,45
721,5;956,4;467,2;4,87;4,86;4,8;4,0;16,32;0,6
871,97;834,0;825,5;4,82;4,84;4,8;4,0;16,37;0,6
807,4;809,8;786,9;4,84;4,84;4,84;4,0;16,41;0,6
751,7;748,9;719,3;4,85;4,87;4,84;4,0;16,45;0,6
668,27;696,1;559,8;4,88;4,91;4,85;3,0;16,49;0,45
476,03;610,0;258,3;4,95;4,99;4,91;2,0;16,51;0,3
