amp, max, min, volt, max, min, wattage, mah, Joule
3.53,4.6,3.0,5.06,5.06,5.06,0.0,176.7,0.0
3.43,2.9,2.8,5.06,5.06,5.06,0.0,176.7,0.0
2.97,3.2,2.8,5.06,5.06,5.06,0.0,176.7,0.0
2.97,3.0,2.9,5.06,5.06,5.06,0.0,176.7,0.0
2.9,2.9,2.8,5.06,5.06,5.06,0.0,176.7,0.0
3.43,4.5,2.9,5.06,5.06,5.06,0.0,176.7,0.0
3.37,2.9,2.7,5.06,5.06,5.06,0.0,176.7,0.0
2.87,3.0,2.7,5.06,5.06,5.06,0.0,176.7,0.0
11.37,28.4,2.7,5.05,5.06,5.05,0.0,176.7,0.0
2.87,2.9,2.7,5.06,5.06,5.06,0.0,176.7,0.0
2.93,3.0,2.9,5.06,5.06,5.06,0.0,176.7,0.0
3.43,4.5,2.8,5.06,5.06,5.06,0.0,176.7,0.0
2.87,3.2,2.6,5.06,5.06,5.06,0.0,176.7,0.0
3.2,3.3,3.1,5.06,5.06,5.06,0.0,176.7,0.0
3.07,3.0,2.9,5.06,5.06,5.06,0.0,176.7,0.0
2.97,3.0,2.9,5.06,5.06,5.05,0.0,176.7,0.0
3.43,4.4,2.9,5.06,5.06,5.06,0.0,176.7,0.0
3.63,3.5,3.0,5.06,5.06,5.06,0.0,176.7,0.0
2.97,3.0,2.9,5.06,5.06,5.06,0.0,176.7,0.0
3.0,3.0,2.9,5.06,5.06,5.06,0.0,176.7,0.0
2.87,3.0,2.7,5.06,5.06,5.06,0.0,176.7,0.0
3.53,4.5,2.7,5.06,5.06,5.06,0.0,176.7,0.0
3.3,2.7,2.7,5.06,5.06,5.06,0.0,176.7,0.0
149.6,396.5,2.7,5.01,5.03,4.95,1.0,176.72,0.15
86.85,30.6,30.6,5.04,5.05,5.02,0.0,176.72,0.0
25.97,45.6,13.8,5.05,5.05,5.04,0.0,176.72,0.0
43.77,54.1,31.6,5.04,5.05,5.04,0.0,176.72,0.0
49.4,113.5,3.1,5.04,5.06,5.03,0.0,176.73,0.0
3.05,3.0,3.0,5.06,5.06,5.06,0.0,176.73,0.0
2.97,3.1,2.8,5.06,5.06,5.06,0.0,176.73,0.0
3.0,3.0,2.9,5.06,5.06,5.06,0.0,176.73,0.0
2.93,3.0,2.9,5.06,5.06,5.06,0.0,176.73,0.0
3.43,2.9,2.8,5.06,5.06,5.06,0.0,176.73,0.0
3.0,3.1,2.9,5.06,5.06,5.06,0.0,176.73,0.0
3.03,3.0,3.0,5.06,5.06,5.06,0.0,176.73,0.0
3.03,3.1,3.0,5.06,5.06,5.06,0.0,176.73,0.0
2.97,3.0,2.9,5.06,5.06,5.06,0.0,176.73,0.0
3.47,4.5,2.9,5.06,5.06,5.06,0.0,176.73,0.0
2.93,2.9,2.9,5.06,5.06,5.06,0.0,176.73,0.0
2.97,3.0,2.9,5.06,5.06,5.06,0.0,176.73,0.0
2.87,2.8,2.8,5.06,5.06,5.06,0.0,176.73,0.0
2.97,3.1,2.8,5.06,5.06,5.06,0.0,176.73,0.0
3.4,4.5,2.7,5.06,5.06,5.06,0.0,176.73,0.0
3.47,3.0,2.9,5.05,5.06,5.05,0.0,176.73,0.0
12.97,32.9,2.9,5.05,5.06,5.04,0.0,176.73,0.0
2.83,2.8,2.6,5.06,5.06,5.06,0.0,176.73,0.0
2.87,2.9,2.8,5.06,5.06,5.06,0.0,176.73,0.0
3.3,4.2,2.8,5.06,5.06,5.06,0.0,176.73,0.0
3.47,3.3,2.9,5.06,5.06,5.06,0.0,176.73,0.0
2.83,3.0,2.6,5.06,5.06,5.06,0.0,176.73,0.0
2.83,3.0,2.6,5.06,5.06,5.06,0.0,176.73,0.0
2.87,2.9,2.7,5.06,5.06,5.06,0.0,176.73,0.0
2.8,2.9,2.6,5.06,5.06,5.06,0.0,176.73,0.0
3.3,4.4,2.6,5.06,5.06,5.06,0.0,176.73,0.0
2.9,3.0,2.8,5.06,5.06,5.06,0.0,176.73,0.0
2.9,3.0,2.8,5.06,5.06,5.06,0.0,176.73,0.0
3.1,3.3,3.0,5.06,5.06,5.06,0.0,176.73,0.0
2.83,2.9,2.6,5.06,5.06,5.06,0.0,176.73,0.0
3.03,3.3,2.9,5.06,5.06,5.06,0.0,176.73,0.0
3.07,3.0,2.9,5.06,5.06,5.06,0.0,176.73,0.0
2.97,3.1,2.8,5.06,5.06,5.06,0.0,176.73,0.0
19.93,53.6,3.1,5.05,5.06,5.05,0.0,176.73,0.0
2.9,3.0,2.8,5.06,5.06,5.06,0.0,176.73,0.0
2.9,2.9,2.9,5.06,5.06,5.06,0.0,176.73,0.0
2.93,3.0,2.9,5.06,5.06,5.06,0.0,176.73,0.0
3.0,3.2,2.9,5.06,5.06,5.06,0.0,176.73,0.0
3.0,3.0,2.8,5.06,5.06,5.06,0.0,176.73,0.0
3.0,3.1,2.9,5.06,5.06,5.06,0.0,176.73,0.0
3.53,4.5,3.0,5.06,5.06,5.06,0.0,176.73,0.0
3.97,4.3,3.1,5.06,5.06,5.06,0.0,176.73,0.0
4.23,4.4,4.0,5.06,5.06,5.06,0.0,176.74,0.0
3.6,3.6,2.8,5.06,5.06,5.06,0.0,176.74,0.0
2.83,2.9,2.8,5.06,5.06,5.06,0.0,176.74,0.0
2.97,3.1,2.9,5.06,5.06,5.06,0.0,176.74,0.0
118.55,238.7,2.9,5.02,5.04,4.99,1.0,176.75,0.15
96.85,111.2,82.5,5.03,5.02,5.02,0.0,176.75,0.0
22.6,40.6,13.3,5.05,5.05,5.04,0.0,176.75,0.0
49.07,103.6,3.0,5.04,5.06,5.0,0.0,176.76,0.0
19.67,53.4,2.6,5.05,5.06,5.04,0.0,176.76,0.0
2.77,3.0,2.6,5.06,5.06,5.06,0.0,176.76,0.0
3.83,5.2,3.0,5.06,5.06,5.06,0.0,176.76,0.0
4.13,4.4,2.8,5.06,5.06,5.05,0.0,176.76,0.0
3.33,2.8,2.8,5.06,5.06,5.05,0.0,176.76,0.0
2.87,3.0,2.8,5.06,5.06,5.06,0.0,176.76,0.0
3.0,3.1,2.8,5.06,5.06,5.06,0.0,176.76,0.0
2.97,3.0,2.8,5.06,5.06,5.06,0.0,176.76,0.0
3.0,3.1,2.9,5.06,5.06,5.06,0.0,176.76,0.0
3.47,4.4,2.9,5.06,5.06,5.06,0.0,176.76,0.0
2.93,3.0,2.9,5.06,5.06,5.06,0.0,176.76,0.0
2.93,2.9,2.9,5.06,5.06,5.06,0.0,176.76,0.0
2.83,2.9,2.7,5.06,5.06,5.06,0.0,176.76,0.0
3.1,3.3,2.8,5.06,5.06,5.06,0.0,176.76,0.0
2.93,2.9,2.7,5.06,5.06,5.06,0.0,176.76,0.0
2.87,2.9,2.8,5.06,5.06,5.06,0.0,176.76,0.0
2.93,3.1,2.8,5.06,5.06,5.06,0.0,176.76,0.0
20.7,56.1,2.9,5.05,5.06,5.04,0.0,176.76,0.0
20.63,3.0,2.8,5.05,5.06,5.04,0.0,176.76,0.0
3.5,4.7,2.8,5.06,5.06,5.06,0.0,176.76,0.0
